Neighborhoods,2016,2017,2018,2019,2020
Capitol Hill,609596,706944,756442,731359,710619
University District,708421,826045,879534,850132,835157
Twin Lakes,326111,369863,386781,401374,418819
Magnolia,866531,978532,1043848,1012305,1027236
Greenwood,600515,703211,748983,729357,719925
Wallingford,822899,949053,1003365,970242,972730
Crossroads,586859,702912,758915,745825,766561
Lake Hills,663805,781334,846279,824679,829277
Finn Hill,631486,740338,781248,755575,770768
Lea Hill,388296,432118,452307,461402,479895
East Renton Highlands,456720,523020,549375,543271,562827
Fremont,704730,817484,865465,828499,821669
Bellevue Downtown,752018,868928,941259,943810,968706
Education Hill,683155,809533,855812,838805,852326
Beacon Hill,500892,587111,629681,615983,641061
Admiral,702702,796496,833560,817478,834913
North Beacon Hill,561524,677536,729170,705367,709675
First Hill,422121,497888,534540,518697,503939
West Campus,252450,286882,305985,317249,329255
Ravenna,784230,894411,942798,915548,910360
Maple Leaf,649576,759032,812323,781189,787146
Minor,652350,759708,814751,785989,795673
Klahanie,702365,817946,857122,817750,827712
Issaquah Highlands,695606,806005,850736,822024,834649
Cascade,317381,366224,388762,404352,419835
North Queen Anne,859998,977191,1042980,1022822,1002725
Kingsgate,563904,670947,722753,707998,732447
Belltown,498138,597327,643357,612360,571964
Bellevue Bridle Trails,810861,954296,1048778,1034679,1043109
Cougar Mountain,1066366,1230995,1300516,1265197,1284044
North Juanita,501741,604695,656319,643867,660298
Phinney Ridge,796476,899585,953148,913701,917016
Adams,626143,727296,777670,757979,723548
Mirror Lake,281276,320884,339864,354542,367737
Green Lake,762882,886391,925767,899738,896470
Bitter Lake,493733,577243,627129,604808,607810
Sunset,326910,369286,401995,402579,416619
Haller Lake,506691,594505,642975,622092,639318
Columbia City,550054,661305,712699,688885,695112
Newport Hills,698606,829928,868989,844903,859882
Broadview,697472,795052,830037,802726,801450
West Woodland,687756,805338,860148,826761,807829
Olympic Hills,506408,590508,636185,621662,618935
Brighton,435420,515876,569621,562452,577493
South Juanita,495104,595185,639862,624522,645033
Eastgate,679476,807364,862459,841540,860194
East Queen Anne,893867,1027019,1085896,1059583,1056761
Loyal Heights,714215,819733,859826,832903,843035
High Point,463276,545970,582959,560019,563568
Grass Lawn,611978,750143,794278,793152,829409
South Lake Union,487123,587209,639500,605353,579688
Highland Park,420399,507158,550733,539513,550022
Somerset,1053630,1245506,1304159,1271103,1310440
