Neighborhood,State,City,County Name,Latitude,Longitude
Lea Hill,WA,Auburn,King County,47.3259091,-122.1800282
Meydenbauer,WA,Bellevue,King County,47.609155,-122.206071
Enatai,WA,Bellevue,King County,47.58741175,-122.197571
Bellevue Downtown,WA,Bellevue,King County,47.6152413,-122.1928412
Newport Shores,WA,Bellevue,King County,47.570655,-122.1923446
Hidden Valley,WA,Bellevue,King County,47.62580585,-122.1900467
Wilburton,WA,Bellevue,King County,47.60751545,-122.1774936
WoodRidge,WA,Bellevue,King County,47.5937106,-122.1729003
Factoria,WA,Bellevue,King County,47.5772408,-122.1684296
Somerset,WA,Bellevue,King County,47.5653776,-122.1567885
Bellevue Bridle Trails,WA,Bellevue,King County,47.645322,-122.154722
West Lake Sammamish,WA,Bellevue,King County,,
Northwest Bellevue,WA,Bellevue,King County,47.6445056,-122.1473338
Bellevue Overlake,WA,Bellevue,King County,47.64916775,-122.1458344
Eastgate,WA,Bellevue,King County,47.5759181,-122.1398636
Robinswood,WA,Bellevue,King County,47.5942664,-122.1398442
Phantom Lake,WA,Bellevue,King County,47.5934766,-122.1249645
Interlake,WA,Bellevue,King County,47.6301672,-122.1244321
Lake Hills,WA,Bellevue,King County,47.6134331,-122.1215109
Crossroads,WA,Bellevue,King County,47.6195441,-122.1187332
Vasa,WA,Bellevue,King County,47.5798223,-122.1120657
Newport Hills,WA,Bellevue,King County,47.5646016,-122.1004681
Cougar Mountain,WA,Bellevue,King County,47.5402081,-122.0993107
Tam O'Shanter,WA,Bellevue,King County,47.62518485,-122.0960063
Seola Beach,WA,Burien,King County,47.4927147,-122.3677535
Seahurst,WA,Burien,King County,47.4692217,-122.3644061
Shorewood,WA,Burien,King County,47.497934,-122.3643202
Gregory Heights,WA,Burien,King County,47.4562236,-122.3630328
Inglesea,WA,Burien,King County,47.488075,-122.3561663
Old Burien,WA,Burien,King County,47.470292,-122.35168
Mount View,WA,Burien,King County,47.4943386,-122.3514456
Sunnydale,WA,Burien,King County,47.4631546,-122.3337357
Evansville,WA,Burien,King County,47.480948,-122.333461
Beverly Park,WA,Burien,King County,47.4967162,-122.3309321
Five Corners,WA,Burien,King County,47.4572341,-122.3265249
Highline,WA,Burien,King County,47.4733437,-122.3249731
Southern Heights,WA,Burien,King County,47.49495045,-122.3160562
Boulevard Park,WA,Burien,King County,47.4948791,-122.3103604
Marina District,WA,Des Moines,King County,47.4011736,-122.3304897
North Hill,WA,Des Moines,King County,47.4195226,-122.3277127
Zenith,WA,Des Moines,King County,47.3856333,-122.3177246
Woodmont,WA,Des Moines,King County,47.3674037,-122.3149102
Central Des Moines,WA,Des Moines,King County,47.4001592,-122.3146657
Des Moines Redondo,WA,Des Moines,King County,47.3495493,-122.3125754
South Des Moines,WA,Des Moines,King County,,
Pacific Ridge,WA,Des Moines,King County,47.4017301,-122.29864
North Central,WA,Des Moines,King County,,
Federal Way Adelaide,WA,Federal Way,King County,47.3280178,-122.3734107
Twin Lakes,WA,Federal Way,King County,47.3063764,-122.3667605
Alderbrook,WA,Federal Way,King County,47.30862315,-122.3536006
Buenna,WA,Federal Way,King County,47.33956255,-122.3402616
Campus Highlands,WA,Federal Way,King County,47.3331841,-122.3385197
Mirror Lake,WA,Federal Way,King County,47.3232669,-122.3373022
West Campus,WA,Federal Way,King County,47.307408,-122.336501
Marine Hills,WA,Federal Way,King County,47.3358948,-122.3187566
Kitts Corner,WA,Federal Way,King County,47.2965334,-122.3126344
Federal Way Redondo,WA,Federal Way,King County,47.3495493,-122.3125754
Laurelwood,WA,Federal Way,King County,47.33800775,-122.3063672
Steel Lake,WA,Federal Way,King County,47.3274072,-122.3035682
Federal Way Madrona,WA,Federal Way,King County,,
Lake Ota,WA,Federal Way,King County,,
Montreux,WA,Issaquah,King County,47.5539473,-122.0965144
